target_file,repo,template_id,expected_version,detected_version,mode,source_ref,status,last_checked_at
targets.level1.go.yaml,alirezasafaeiiidev/go-level1-pilot,go-level1-ci,0.1.1,0.1.0,should,standards/ci/go.md,aligned,2026-02-10T19:50:38Z
targets.level1.go.yaml,alirezasafaeiiidev/go-level1-pilot,agent-guidelines,1.0.0,unknown,optional,standards/process/agent-spec-v1.md,diverged,2026-02-10T19:50:38Z
targets.level1.patreon.yaml,alirezasafaeiiidev/patreon_iran,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T19:50:38Z
targets.level1.patreon.yaml,alirezasafaeiiidev/patreon_iran,agent-guidelines,1.0.0,unknown,optional,standards/process/agent-spec-v1.md,diverged,2026-02-10T19:50:38Z
targets.level1.python.yaml,alirezasafaeiiidev/python-level1-pilot,all,n/a,n/a,n/a,n/a,clone_failed,2026-02-10T19:50:40Z
targets.level1.yaml,alirezasafaeiiidev/my_portfolio,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T19:50:40Z
targets.level1.yaml,alirezasafaeiiidev/my_portfolio,agent-guidelines,1.0.0,unknown,optional,standards/process/agent-spec-v1.md,diverged,2026-02-10T19:50:40Z
targets.level1.yaml,alirezasafaeiiidev/persian_tools,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T19:50:40Z
targets.level1.yaml,alirezasafaeiiidev/persian_tools,agent-guidelines,1.0.0,unknown,optional,standards/process/agent-spec-v1.md,diverged,2026-02-10T19:50:40Z
targets.level1.yaml,alirezasafaeiiidev/patreon_iran,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T19:50:40Z
targets.level1.yaml,alirezasafaeiiidev/patreon_iran,agent-guidelines,1.0.0,unknown,optional,standards/process/agent-spec-v1.md,diverged,2026-02-10T19:50:40Z
targets.yaml,alirezasafaeiiidev/my_portfolio,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,diverged,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,diverged,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,diverged,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,readme-minimum,1.0.1,1.0.0,must,standards/docs/readme-minimum.md,diverged,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,ci-quality-gate,1.0.1,missing,must,standards/ci/minimal-github-actions.md,missing,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/my_portfolio,agent-guidelines,1.0.0,unknown,optional,standards/process/agent-spec-v1.md,diverged,2026-02-10T19:50:44Z
targets.yaml,alirezasafaeiiidev/persian_tools,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,diverged,2026-02-10T19:50:44Z
