repo,template_id,expected_version,detected_version,mode,source_ref,status,last_checked_at
alirezasafaeiiidev/asdev-portfolio,pr-template,1.1.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,issue-bug,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,issue-feature,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,contributing-minimum,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,readme-minimum,1.0.1,missing,must,standards/docs/readme-minimum.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,ci-quality-gate,1.0.1,missing,must,standards/ci/minimal-github-actions.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,editorconfig-default,1.0.1,missing,optional,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-portfolio,agent-guidelines,1.0.0,missing,optional,standards/process/agent-spec-v1.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,pr-template,1.1.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,diverged,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,diverged,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,contributing-minimum,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,readme-minimum,1.0.1,missing,must,standards/docs/readme-minimum.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,ci-quality-gate,1.0.1,missing,must,standards/ci/minimal-github-actions.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,codeowners-default,1.1.1,1.1.0,optional,standards/coding/level-0.md,diverged,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-persiantoolbox,agent-guidelines,1.0.0,missing,optional,standards/process/agent-spec-v1.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,pr-template,1.1.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,diverged,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,diverged,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,contributing-minimum,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,readme-minimum,1.0.1,n/a,must,standards/docs/readme-minimum.md,opted_out,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,ci-quality-gate,1.0.1,missing,must,standards/ci/minimal-github-actions.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-creator-membership-ir,agent-guidelines,1.0.0,missing,optional,standards/process/agent-spec-v1.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,pr-template,1.1.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,issue-bug,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,issue-feature,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,contributing-minimum,1.0.1,missing,must,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,readme-minimum,1.0.1,missing,must,standards/docs/readme-minimum.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,ci-quality-gate,1.0.1,missing,must,standards/ci/minimal-github-actions.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,editorconfig-default,1.0.1,missing,optional,standards/coding/level-0.md,missing,2026-02-14T20:51:20Z
alirezasafaeiiidev/asdev-nexa-vpn,agent-guidelines,1.0.0,missing,optional,standards/process/agent-spec-v1.md,missing,2026-02-14T20:51:20Z
