target_file,repo,template_id,expected_version,detected_version,mode,source_ref,status,last_checked_at
targets.level1.go.yaml,go-level1-pilot,go-level1-ci,0.1.1,0.1.0,should,standards/ci/go.md,aligned,2026-02-10T13:48:58Z
targets.level1.patreon.yaml,patreon_iran,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T13:49:03Z
targets.level1.python.yaml,python-level1-pilot,python-level1-ci,0.1.1,0.1.0,should,standards/ci/python.md,aligned,2026-02-10T13:49:07Z
targets.level1.yaml,my_portfolio,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T13:49:11Z
targets.level1.yaml,persian_tools,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T13:49:11Z
targets.level1.yaml,patreon_iran,js-ts-level1-ci,0.2.1,0.2.0,should,standards/ci/javascript-typescript.md,aligned,2026-02-10T13:49:11Z
targets.yaml,my_portfolio,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,my_portfolio,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,my_portfolio,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,my_portfolio,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,my_portfolio,readme-minimum,1.0.1,1.0.0,must,standards/docs/readme-minimum.md,aligned,2026-02-10T13:49:25Z
targets.yaml,my_portfolio,ci-quality-gate,1.0.1,1.0.0,must,standards/ci/minimal-github-actions.md,aligned,2026-02-10T13:49:25Z
targets.yaml,my_portfolio,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,readme-minimum,1.0.1,1.0.0,must,standards/docs/readme-minimum.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,ci-quality-gate,1.0.1,1.0.0,must,standards/ci/minimal-github-actions.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,persian_tools,codeowners-default,1.1.1,1.1.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,readme-minimum,1.0.1,n/a,must,standards/docs/readme-minimum.md,opted_out,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,ci-quality-gate,1.0.1,1.0.0,must,standards/ci/minimal-github-actions.md,aligned,2026-02-10T13:49:25Z
targets.yaml,patreon_iran,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:49:25Z
